"","OBJECTID","EXPEDIENTE","DEPARTAMENTO","PARCELARIO AJUSTADO","CORREGIDO","FECHA","...7","COMENTARIO -DIANMIGE","RESUELTO","...10","...11","...12","RESUMEN","...14"
"26",129530,"08007120211036","DURAZNO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"27",30931,"0800712017448","RIVERA","NO","NO NECESITA","13/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"28",104320,"0800712020960","TACUAREMBO","NO","NO NECESITA","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"29",8956,"08007120151317","ARTIGAS","SI","SI","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"30",30510,"0800712017177","TREINTA Y TRES","SI","SI","05/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"31",9015,"08007120082645","TREINTA Y TRES","SI","SI","05/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"32",162322,"08007120221061","CERRO LARGO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"33",90303,"0800712020510","MALDONADO","SI","NO NECESITA","04/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"34",132318,"08007120211121","MONTEVIDEO","SI","SI","09/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"35",147117,"0800712022580","PAYSANDÚ","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"36",60271,"08007120181057","COLONIA","SI","NO NECESITA","27/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"37",155918,"0800712022950","CANELONES","SI","SI","03/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"38",75488,"0800712019917","CANELONES","SI","SI","03/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"39",39820,"080071201822","RIVERA","NO","NO NECESITA","13/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"40",8682,"08007120142967","RIO NEGRO","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"41",66680,"0800711986158","ARTIGAS","SI","NO NECESITA","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"42",129526,"08007120211039","CERRO LARGO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"43",151915,"0800712022597","DURAZNO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"44",110313,"0800712021134","TACUAREMBO","NO","NO NECESITA","10/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"45",117114,"08007120151077","ARTIGAS","SI","SI","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"46",126714,"0800712021884","FLORIDA","SI","NO NECESITA","02/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"47",151515,"0800712022726","DURAZNO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"48",9248,"08007120142394","DURAZNO","NO","SI","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"49",109518,"0800712021147","CERRO LARGO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"50",8551,"08007120082391","TREINTA Y TRES","SI","SI","05/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"51",8363,"08007120091174","COLONIA","SI","SI","27/12/2022",NA,NA,NA,NA,NA,NA,"DEPTO","CANTIDAD"
"52",8922,"08007120091916","DURAZNO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"53",9108,"08007120121128","TREINTA Y TRES","SI","SI","09/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"54",123518,"0800712021713","TACUAREMBO","NO","NO NECESITA","10/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"55",150714,"0800712022729","CERRO LARGO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"56",94310,"0800712020627","COLONIA","SI","SI","27/12/2022",NA,NA,NA,NA,NA,NA,"SORIANO",NA
"57",72686,"0800712019789","SALTO","NO","NO NECESITA","10/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"58",8452,"08007120111097","PAYSANDÚ","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"59",149514,"08007120151126","CERRO LARGO","NO","SI","12/01/2023","15844 era el número de padron anterior al 17266",NA,NA,NA,NA,NA,NA,NA
"60",157115,"0800712022932","FLORES","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"61",96712,"0800712020760","ARTIGAS","SI","NO NECESITA","09/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"62",38600,"0800712017951","SALTO","NO","NO NECESITA","10/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"63",133914,"08007120191053","CERRO LARGO","NO","SI","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"64",118315,"0800712021574","CERRO LARGO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"65",157522,"0800712022944","FLORIDA","SI","NO NECESITA","02/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
