"id","elementos","ele_corr","remesa","extremos","intersecc","g1","g2","g3","g5","g51","t1","t2","gl1","gl2","gl3","gl4","l1","l2","l3","l4","error"
190936,923,922,5,322,320,5,5,922,20,0,0,78,322,322,15,0,1,0,0,0,"NO"
192024,148,142,5,39,39,0,1,142,5,0,0,36,39,39,1,0,6,1,0,0,"NO"
190938,347,345,5,95,94,0,1,345,19,0,0,50,95,94,95,0,2,3,0,0,"NO"
190718,306,300,1,53,58,0,2,300,36,0,0,37,49,48,4,0,4,28,35,3,"NO"
188789,1104,1094,1,195,196,0,8,28,135,3,0,137,182,182,3,0,7,15,45,3,"NO"
190362,554,551,"1y6",124,125,0,3,6,49,1,0,60,118,118,7,0,3,0,13,0,"NO"
188830,704,697,6,118,118,3,4,4,79,2,1,102,101,101,1,0,6,14,0,1,"SI"
190336,1242,1239,6,276,276,2,8,0,121,0,0,200,276,276,8,0,1,0,0,0,"NO"
190553,1850,1847,6,442,440,23,4,2,229,0,1,204,442,442,249,0,3,2,0,0,"NO"
190566,2323,2294,6,495,497,2,6,6,223,0,0,253,472,472,23,0,10,0,18,19,"SI"
190340,912,910,6,320,319,7,1,4,69,0,0,37,317,317,7,0,2,0,0,0,"NO"
189886,1046,1036,1,294,295,0,4,0,151,1,0,62,294,294,6,0,0,0,29,9,"NO"
188783,251,249,1,57,62,0,0,0,34,1,0,20,51,50,3,0,2,0,8,0,"NO"
190516,237,235,1,48,48,3,3,0,21,1,0,44,48,47,48,0,2,0,1,0,"NO"
190056,621,620,1,163,162,0,4,0,41,1,1,88,148,148,2,0,1,0,5,0,"NO"
190507,250,247,1,81,80,0,0,0,13,0,0,26,81,81,0,0,3,0,1,0,"NO"
190110,468,467,1,183,182,0,5,0,12,0,0,22,183,183,7,0,1,0,4,0,"NO"
189873,1477,1477,1,606,608,0,8,1,14,0,0,16,257,245,16,0,0,0,0,0,"NO"
192799,166,165,1,54,53,0,1,0,5,0,0,2,54,28,54,0,1,0,0,0,"NO"
193237,681,680,"1y5",237,238,3,7,356,40,0,0,30,220,220,8,0,0,1,0,0,"NO"
193338,547,547,"1y6",250,249,0,4,0,6,0,0,5,34,24,11,0,0,0,0,0,"NO"
192295,1533,1532,6,537,534,2,10,9,71,0,0,68,537,519,537,0,1,0,0,0,"NO"
192906,309,308,6,94,92,0,7,0,14,0,0,12,92,92,3,0,1,0,0,0,"NO"
189504,1127,1125,6,404,404,3,11,1,59,0,0,73,404,402,404,0,2,4,0,0,"NO"
189242,508,508,6,211,209,2,2,0,9,0,0,26,211,151,211,0,0,0,0,0,"NO"
189431,596,595,6,269,268,0,2,0,11,0,0,10,203,199,7,0,1,0,0,0,"NO"
190230,1524,1522,6,613,607,1,6,2,12,0,0,52,593,593,24,0,2,0,0,0,"SI"
192233,329,316,6,92,92,0,1,1,13,0,0,22,92,87,92,0,3,0,0,10,"NO"
191864,523,521,6,213,212,3,2,9,6,0,0,30,212,212,5,0,2,0,0,0,"NO"
193833,232,217,6,62,61,1,3,2,3,1,0,43,60,60,1,0,15,0,0,0,"NO"
194133,337,335,6,78,84,2,2,1,3,1,0,64,78,78,5,0,2,0,0,0,"NO"
193670,210,208,6,73,74,5,0,0,3,0,0,10,73,65,73,0,2,0,0,0,"NO"
190852,735,735,9,273,267,0,5,735,29,0,0,37,271,271,11,0,0,0,0,0,"NO"
191297,654,645,9,141,140,0,4,645,33,0,0,40,141,141,7,0,0,0,245,9,"SI"
192555,297,297,9,55,54,0,3,297,26,0,1,49,55,52,55,0,0,0,0,0,"SI"
193430,788,785,6,141,140,5,7,7,29,0,1,53,141,141,141,0,3,4,292,0,"SI"
192013,338,337,6,109,108,1,1,4,16,1,0,14,109,109,0,0,1,0,0,0,"NO"
190944,500,499,6,145,148,0,3,2,13,0,0,45,139,139,3,0,1,0,0,0,"NO"
192653,246,244,6,33,41,0,1,0,12,0,0,14,25,25,3,0,2,0,92,0,"NO"
194476,743,739,6,197,194,0,11,0,23,1,0,74,196,196,5,0,0,1,16,4,"NO"
191588,698,696,6,61,60,0,3,0,9,0,0,18,60,60,5,0,2,0,13,0,"SI"
193160,464,459,7,167,138,0,3,459,11,0,0,31,167,167,8,0,5,0,0,0,"NO"
